Start station,Start time,End station,End time
272,2017-06-01 02:17:05 +0200,285,2017-06-01 02:25:04 +0200
242,2017-06-01 05:59:52 +0200,253,2017-06-01 06:12:24 +0200
284,2017-06-01 05:59:55 +0200,283,2017-06-01 06:04:14 +0200
267,2017-06-01 05:59:58 +0200,272,2017-06-01 06:07:15 +0200
222,2017-06-01 06:00:03 +0200,272,2017-06-01 06:04:10 +0200
251,2017-06-01 06:00:04 +0200,163,2017-06-01 06:08:39 +0200
190,2017-06-01 06:00:06 +0200,195,2017-06-01 06:05:10 +0200
174,2017-06-01 06:00:07 +0200,295,2017-06-01 06:10:51 +0200
292,2017-06-01 06:00:15 +0200,292,2017-06-01 06:49:28 +0200
296,2017-06-01 06:00:18 +0200,211,2017-06-01 06:06:12 +0200
